GeneID	length	eff_length	est_counts	tpm
cpalmiol.306.1	1481	1285.74	51192	1050.52
cpalmiol.307.1	1624	1428.74	2832	52.2992
cpalmiol.308.1	4586	4390.74	10546	63.373
cpalmiol.309.1	1354	1158.74	12689	288.933
cpalmiol.310.1	304	122.448	289	62.2731
cpalmiol.311.1	6532	6336.74	8508	35.4255
cpalmiol.312.1	2293	2097.74	10490	131.941
cpalmiol.313.1	1230	1034.74	1112	28.355
cpalmiol.314.1	2607	2411.74	26636	291.402
cpalmiol.315.1	2325	2129.74	635	7.86686
cpalmiol.316.1	1269	1073.74	32832	806.777
cpalmiol.317.1	429	236.973	98140	10927
cpalmiol.318.1	869	673.736	2797	109.536
cpalmiol.319.1	2138	1942.74	1515	20.5756
cpalmiol.320.1	1313	1117.74	9138	215.708
cpalmiol.321.1	1267	1071.74	98	2.41264
cpalmiol.322.1	8123	7927.74	6655.99	22.1522
cpalmiol.323.1	3616	3420.74	11182	86.249
cpalmiol.324.1	976	780.736	3981	134.537
cpalmiol.325.1	17627	17431.7	20601	31.1818
cpalmiol.326.1	433	240.805	10860	1189.92
cpalmiol.327.1	10441	10245.7	5857.05	15.0831
cpalmiol.328.1	2789	2593.74	857.211	8.71999
cpalmiol.329.1	4108	3912.74	8302	55.983
cpalmiol.330.1	1433	1237.74	332	7.07724
cpalmiol.331.1	622	426.96	35226	2176.86
cpalmiol.332.1	4862	4666.74	2530	14.3041
cpalmiol.333.1	6675	6479.74	2112.07	8.60013
cpalmiol.334.1	15093	14897.7	22703.9	40.21
cpalmiol.335.1	3766	3570.74	9697	71.6528
cpalmiol.336.1	3731	3535.74	49392	368.579
cpalmiol.337.1	1068	872.736	3046	92.0875
cpalmiol.338.1	4885	4689.74	86910	488.962
cpalmiol.339.1	6228	6032.74	10928.3	47.7959
cpalmiol.340.1	523	328.494	10062.7	808.242
cpalmiol.341.1	570	375.198	13022.3	915.757
cpalmiol.342.1	394	203.658	14166.3	1835.31
cpalmiol.342.2	459	265.924	1126.65	111.785
cpalmiol.343.1	2262	2066.74	3050	38.9375
cpalmiol.344.1	478	284.358	3046	282.63
cpalmiol.345.1	6917	6721.74	1476.37	5.7952
cpalmiol.346.1	3193	2997.74	491	4.32157
cpalmiol.347.1	2547	2351.74	1085	12.1729
cpalmiol.348.1	3300	3104.74	24830	211.011
cpalmiol.349.1	5778	5582.74	6303	29.7889
cpalmiol.350.1	556	361.254	158	11.5398
cpalmiol.351.1	1341	1145.74	4476	103.076
cpalmiol.352.1	4748	4552.74	2435.67	14.1156
cpalmiol.353.1	1447	1251.74	3050.33	64.2967
cpalmiol.354.1	6362	6166.74	9990	42.7429
cpalmiol.355.1	6278	6082.74	21981.1	95.3466
cpalmiol.356.1	522	327.51	5538	446.151
cpalmiol.357.1	5727	5531.74	4144	19.7657
cpalmiol.358.1	481	287.33	5466	501.93
cpalmiol.359.1	558	363.254	10805	784.817
cpalmiol.360.1	2624	2428.74	1690	18.3595
cpalmiol.361.1	5416	5220.74	6962	35.1849
cpalmiol.362.1	6096	5900.74	2350.53	10.5102
cpalmiol.363.1	4970	4774.74	225.537	1.2463
cpalmiol.363.2	4970	4774.74	225.537	1.2463
cpalmiol.363.3	4970	4774.74	225.537	1.2463
cpalmiol.363.4	4931	4735.74	644.431	3.5904
cpalmiol.363.5	4931	4735.74	644.431	3.5904
cpalmiol.364.1	883	687.736	21418.1	821.7
cpalmiol.365.1	1002	806.736	7377	241.269
cpalmiol.366.1	1042	846.736	8183	254.987
cpalmiol.367.1	860	664.736	31511	1250.74
cpalmiol.368.1	4260	4064.74	1834	11.9048
cpalmiol.369.1	1997	1801.74	3322	48.6477
cpalmiol.370.1	8849	8653.74	4600	14.0252
cpalmiol.371.1	390	199.884	1457	192.325
cpalmiol.372.1	388	198.046	41056	5469.72
cpalmiol.373.1	3707	3511.74	4377	32.8858
cpalmiol.374.1	1915	1719.74	2964	45.4747
cpalmiol.375.1	609	413.98	32185	2051.29
cpalmiol.376.1	698	502.796	2616	137.278
cpalmiol.377.1	518	323.527	8691.26	708.804
cpalmiol.378.1	413	221.755	14543.7	1730.44
cpalmiol.379.1	2756	2560.74	10006	103.098
cpalmiol.380.1	4414	4218.74	35823	224.044
cpalmiol.381.1	1074	878.736	2557	76.7761
cpalmiol.382.1	1595	1399.74	12538	236.339
cpalmiol.383.1	5296	5100.74	9267	47.9358
cpalmiol.384.1	6886	6690.74	5954	23.4795
cpalmiol.385.1	4911	4715.74	19450	108.824
cpalmiol.386.1	959	763.736	5343	184.585
cpalmiol.387.1	485	291.243	4443	402.508
cpalmiol.388.1	491	296.993	22577	2005.74
cpalmiol.389.1	679	483.869	3603	196.467
cpalmiol.390.1	1698	1502.74	4085	71.7238
cpalmiol.391.1	5277	5081.74	9152	47.5179
cpalmiol.392.1	1592	1396.74	476	8.99179
cpalmiol.393.1	9632	9436.74	10431	29.1648
cpalmiol.394.1	1621	1425.74	4441	82.1855
cpalmiol.395.1	956	760.736	65693	2278.45
cpalmiol.396.1	481	287.33	20368	1870.34
cpalmiol.397.1	1811	1615.74	200	3.26598
cpalmiol.398.1	1369	1173.74	6304	141.71
cpalmiol.399.1	799	603.766	315	13.7656
cpalmiol.400.1	1977	1781.74	1887	27.9436
cpalmiol.401.1	1060	864.736	4071	124.214
cpalmiol.402.1	4765	4569.74	2479	14.3133
cpalmiol.403.1	4406	4210.74	4838	30.3153
cpalmiol.404.1	1619	1423.74	3103.54	57.5151
cpalmiol.404.2	3308	3112.74	2422.41	20.5333
cpalmiol.405.1	1538	1342.74	4645.05	91.2753
cpalmiol.406.1	630	434.938	22437	1361.1
cpalmiol.407.1	10441	10245.7	12783	32.9187
cpalmiol.408.1	581	386.16	478	32.6598
cpalmiol.409.1	696	500.796	5781	304.576
cpalmiol.410.1	710	514.796	31938	1636.92
cpalmiol.411.1	2896	2700.74	2667	26.0552
cpalmiol.412.1	3853	3657.74	6415	46.2741
cpalmiol.413.1	1373	1177.74	6894	154.446
cpalmiol.414.1	1377	1181.74	3845	85.8479
cpalmiol.415.1	1521	1325.74	3257	64.8208
cpalmiol.416.1	3012	2816.74	8468	79.321
cpalmiol.417.1	7962	7766.74	11207	38.0719
cpalmiol.418.1	20031	19835.7	33651	44.7614
cpalmiol.419.1	3905	3709.74	1465	10.4195
cpalmiol.420.1	4765	4569.74	5389	31.1151
cpalmiol.421.1	4847	4651.74	7974	45.2288
cpalmiol.422.1	2143	1947.74	10795	146.233
cpalmiol.423.1	3311	3115.74	1600	13.5492
cpalmiol.424.1	1397	1201.74	1540	33.8116
cpalmiol.425.1	1893	1697.74	15088	234.485
cpalmiol.426.1	3206	3010.74	1598	14.0042
cpalmiol.427.1	7197	7001.74	17398	65.5613
cpalmiol.428.1	10975	10779.7	5392	13.1976
cpalmiol.429.1	2703	2507.74	84825	892.474
cpalmiol.430.1	1901	1705.74	293	4.5322
cpalmiol.431.1	4737	4541.74	3788	22.006
cpalmiol.432.1	12602	12406.7	8537	18.1552
cpalmiol.433.1	2790	2594.74	17083	173.71
cpalmiol.434.1	903	707.736	2991	111.506
cpalmiol.435.1	1648	1452.74	2176	39.5208
cpalmiol.237.1	2295	2099.74	244	3.06605
cpalmiol.3.1	1102	906.736	81	2.35699
cpalmiol.4.1	601	406.021	3743	243.234
cpalmiol.5.1	1971	1775.74	45589	677.385
cpalmiol.6.1	3321	3125.74	188	1.58694
cpalmiol.7.1	3435	3239.74	167	1.36007
cpalmiol.8.1	8741	8545.74	355.992	1.09912
cpalmiol.9.1	1155	959.736	1871.21	51.4429
cpalmiol.10.1	473	279.5	9962	940.413
cpalmiol.11.1	3734	3538.74	4754	35.4458
cpalmiol.12.1	1348	1152.74	3135	71.7565
cpalmiol.13.1	1701	1505.74	13140	230.25
cpalmiol.14.1	7300	7104.74	3408	12.6563
cpalmiol.15.1	11159	10963.7	4512.52	10.8596
cpalmiol.16.1	11086	10890.7	3301.56	7.99862
cpalmiol.17.1	1026	830.736	2410	76.5434
cpalmiol.18.1	13447	13251.7	16764	33.3779
cpalmiol.19.1	417	225.461	3955	462.837
cpalmiol.20.1	298	117.509	5103	1145.79
cpalmiol.21.1	1538	1342.74	26522	521.158
cpalmiol.22.1	4056	3860.74	4652	31.7924
cpalmiol.23.1	3918	3722.74	1.40038e-05	9.92513e-08
cpalmiol.24.1	11682	11486.7	4612	10.5937
cpalmiol.25.1	1414	1218.74	5407	117.058
cpalmiol.26.1	1752	1556.74	5371	91.032
cpalmiol.27.1	472	278.514	85	8.05241
cpalmiol.28.1	1814	1618.74	151	2.46124
cpalmiol.29.1	5517	5321.74	21683.7	107.506
cpalmiol.30.1	7112	6916.74	3626.69	13.8345
cpalmiol.31.1	1156	960.736	1913.79	52.5585
cpalmiol.32.1	405	214.075	64	7.88801
cpalmiol.33.1	969	773.736	7817	266.564
cpalmiol.34.1	5350	5154.74	5142	26.3196
cpalmiol.35.1	8598	8402.74	300506	943.596
cpalmiol.36.1	7628	7432.74	7415	26.3218
cpalmiol.37.1	1654	1458.74	23177	419.212
cpalmiol.38.1	1187	991.736	5234	139.249
cpalmiol.39.1	2088	1892.74	1918	26.737
cpalmiol.40.1	1863	1667.74	3888	61.511
cpalmiol.41.1	1540	1344.74	1524	29.9021
cpalmiol.42.1	1365	1169.74	8825	199.058
cpalmiol.43.1	10797	10601.7	42004	104.536
cpalmiol.44.1	464	270.803	4884	475.856
cpalmiol.45.1	2375	2179.74	10227	123.794
cpalmiol.46.1	2026	1830.74	19836	285.879
cpalmiol.47.1	659	463.893	7260	412.926
cpalmiol.48.1	8495	8299.74	25271	80.3363
cpalmiol.49.1	4900	4704.74	92087.1	516.437
cpalmiol.50.1	2190	1994.74	101862	1347.35
cpalmiol.51.1	410	218.845	12776.7	1540.41
cpalmiol.52.1	1120	924.736	6406	182.778
cpalmiol.53.1	2642	2446.74	9389	101.248
cpalmiol.54.1	754	558.796	2097	99.0146
cpalmiol.55.1	4026	3830.74	1347	9.27767
cpalmiol.56.1	1615	1419.74	9822.02	182.535
cpalmiol.56.2	4815	4619.74	3378.98	19.2984
cpalmiol.57.1	2001	1805.74	2927	42.7683
cpalmiol.58.1	1790	1594.74	16957	280.552
cpalmiol.59.1	787	591.766	13991	623.81
cpalmiol.60.1	377	187.743	5504	773.514
cpalmiol.61.1	616	420.96	3285.28	205.914
cpalmiol.63.1	606	410.98	401.457	25.7734
cpalmiol.62.1	1273	1077.74	2545.54	62.3192
cpalmiol.64.1	280	102.712	9421	2420.08
cpalmiol.65.1	479	285.358	10417	963.176
cpalmiol.66.1	519	324.527	29739	2417.85
cpalmiol.67.1	353	165.705	2517	400.776
cpalmiol.68.1	8295	8099.74	3520	11.4664
cpalmiol.69.1	635	439.938	19020	1140.7
cpalmiol.70.1	457	263.938	2718	271.707
cpalmiol.71.1	3373	3177.74	1142	9.48204
cpalmiol.72.1	569	374.198	28906	2038.17
cpalmiol.73.1	1409	1213.74	2783	60.4982
cpalmiol.74.1	1120	924.736	3990	113.844
cpalmiol.75.1	1255	1059.74	3030	75.4395
cpalmiol.76.1	1693	1497.74	15675	276.138
cpalmiol.77.1	2176	1980.74	2225	29.6386
cpalmiol.78.1	1436	1240.74	29824	634.22
cpalmiol.79.1	4776	4580.74	15879	91.4622
cpalmiol.80.1	860	664.736	2741	108.796
cpalmiol.81.1	743	547.796	3077	148.205
cpalmiol.82.1	643	447.916	4733	278.8
cpalmiol.83.1	942	746.736	7049	249.066
cpalmiol.84.1	953	757.736	10260	357.259
cpalmiol.85.1	1486	1290.74	9141	186.857
cpalmiol.86.1	4081	3885.74	2047	13.8995
cpalmiol.87.1	9222	9026.74	17977	52.5461
cpalmiol.88.1	2816	2620.74	2665	26.8304
cpalmiol.89.1	694	498.821	12379	654.779
cpalmiol.90.1	384	194.226	13788	1873.05
cpalmiol.91.1	1019	823.736	218	6.98268
cpalmiol.92.1	509	314.671	8480	711.039
cpalmiol.93.1	657	461.916	1598	91.2782
cpalmiol.94.1	360	172.129	385	59.0146
cpalmiol.95.1	898	702.736	1525	57.2574
cpalmiol.96.1	1834	1638.74	1852	29.8185
cpalmiol.97.1	480	286.33	28543	2630.19
cpalmiol.98.1	836	640.736	3264	134.408
cpalmiol.99.1	2835	2639.74	2589	25.8777
cpalmiol.100.1	7323	7127.74	5264	19.4858
cpalmiol.101.1	2213	2017.74	515	6.73436
cpalmiol.102.1	419	227.347	2652	307.778
cpalmiol.103.1	1512	1316.74	168088	3368.15
cpalmiol.104.1	2065	1869.74	19691	277.87
cpalmiol.105.1	5648	5452.74	15323	74.1452
cpalmiol.106.1	3880	3684.74	2613	18.7106
cpalmiol.107.1	3000	2804.74	3375	31.7494
cpalmiol.108.1	6150	5954.74	10365	45.9262
cpalmiol.109.1	3469	3273.74	6268	50.5172
cpalmiol.110.1	1300	1104.74	3654	87.2698
cpalmiol.111.1	1572	1376.74	8740	167.5
cpalmiol.112.1	1959	1763.74	58308	872.265
cpalmiol.113.1	4278	4082.74	6279	40.5782
cpalmiol.115.1	7660	7464.74	5670.75	20.0438
cpalmiol.114.1	8062	7866.74	1208.25	4.05245
cpalmiol.116.1	285	106.824	16975	4192.7
cpalmiol.117.1	878	682.736	1137	43.9401
cpalmiol.118.1	622	426.96	2502	154.616
cpalmiol.119.1	21560	21364.7	21534	26.5938
cpalmiol.120.1	2408	2212.74	3592	42.8312
cpalmiol.121.1	1909	1713.74	4519	69.5748
cpalmiol.122.1	1919	1723.74	8182	125.24
cpalmiol.123.1	387	197.076	813	108.846
cpalmiol.124.1	4819	4623.74	5571	31.7902
cpalmiol.125.1	3024	2828.74	1774	16.5468
cpalmiol.126.1	1546	1350.74	38134	744.896
cpalmiol.127.1	5572	5376.74	7173	35.1994
cpalmiol.128.1	989	793.736	15201	505.301
cpalmiol.129.1	5681	5485.74	14209	68.3412
cpalmiol.130.1	5056	4860.74	5123	27.8084
cpalmiol.131.1	4634	4438.74	15400	91.5409
cpalmiol.132.1	1901	1705.74	4486	69.3907
cpalmiol.133.1	857	661.736	11026	439.63
cpalmiol.134.1	3414	3218.74	4209	34.5022
cpalmiol.135.1	3475	3279.74	1755	14.1186
cpalmiol.136.1	2534	2338.74	55842	629.99
cpalmiol.137.1	1280	1084.74	4859	118.189
cpalmiol.138.1	927	731.736	2243	80.8777
cpalmiol.139.1	5239	5043.74	14717.5	76.99
cpalmiol.140.1	2021	1825.74	606.541	8.76548
cpalmiol.141.1	1709	1513.74	10139	176.725
cpalmiol.142.1	2334	2138.74	3783.54	46.6762
cpalmiol.143.1	4691	4495.74	4707.46	27.6274
cpalmiol.144.1	1016	820.736	3029	97.3755
cpalmiol.145.1	11953	11757.7	3699.77	8.30242
cpalmiol.146.1	9144	8948.74	2681.23	7.90544
cpalmiol.147.1	549	354.289	3497	260.43
cpalmiol.148.1	1769	1573.74	22006	368.946
cpalmiol.149.1	4073	3877.74	2005	13.6424
cpalmiol.150.1	2729	2533.74	1950	20.3061
cpalmiol.151.1	1132	936.736	13747	387.208
cpalmiol.152.1	826	630.736	1123	46.9771
cpalmiol.153.1	534	339.393	23763	1847.36
cpalmiol.154.1	3374	3178.74	1497	12.4257
cpalmiol.155.1	1831	1635.74	3725	60.0851
cpalmiol.156.1	2959	2763.74	5894	56.2688
cpalmiol.157.1	4660	4464.74	14695	86.8415
cpalmiol.158.1	2185	1989.74	4489	59.5262
cpalmiol.159.1	553	358.272	9189	676.721
cpalmiol.160.1	4634	4438.74	5339.07	31.7365
cpalmiol.161.1	509	314.671	16457	1379.9
cpalmiol.162.1	8558	8362.74	42238	133.263
cpalmiol.163.1	1663	1467.74	1388	24.9514
cpalmiol.164.1	4947	4751.74	2574	14.2926
cpalmiol.165.1	690	494.821	2117	112.883
cpalmiol.166.1	7695	7499.74	6121	21.5343
cpalmiol.167.1	1640	1444.74	767	14.0075
cpalmiol.168.1	491	296.993	1575	139.923
cpalmiol.169.1	2538	2342.74	19884	223.941
cpalmiol.170.1	736	540.796	803	39.1774
cpalmiol.171.1	836	640.736	7099	292.329
cpalmiol.172.1	2790	2594.74	13381	136.066
cpalmiol.173.1	405	214.075	501	61.7483
cpalmiol.174.1	1933	1737.74	16966	257.602
cpalmiol.175.1	1624	1428.74	12203	225.356
cpalmiol.176.1	2460	2264.74	2723	31.7237
cpalmiol.177.1	1908	1712.74	12485	192.332
cpalmiol.178.1	9206	9010.74	9637	28.2186
cpalmiol.179.1	2221	2025.74	4236	55.173
cpalmiol.180.1	1997	1801.74	56	0.820069
cpalmiol.181.1	4238	4042.74	13555	88.4663
cpalmiol.182.1	820	624.736	1028	43.416
cpalmiol.183.1	4897	4701.74	1529	8.58031
cpalmiol.184.1	1417	1221.74	3049	65.8467
cpalmiol.185.1	5062	4866.74	5872.88	31.8396
cpalmiol.186.1	8846	8650.74	6244.12	19.0446
cpalmiol.187.1	768	572.796	14766	680.169
cpalmiol.188.1	237	69.5113	1041	395.138
cpalmiol.189.1	1566	1370.74	28394	546.546
cpalmiol.190.1	458	264.924	10536	1049.32
cpalmiol.191.1	1225	1029.74	23880	611.874
cpalmiol.192.1	7235	7039.74	7929	29.7177
cpalmiol.193.1	3327	3131.74	3435	28.9398
cpalmiol.194.1	1604	1408.74	7343	137.53
cpalmiol.195.1	4507	4311.74	7191	44.0039
cpalmiol.196.1	380	190.55	2201	304.765
cpalmiol.197.1	2092	1896.74	364028	5063.86
cpalmiol.198.1	1397	1201.74	8512	186.886
cpalmiol.199.1	1998	1802.74	890	13.026
cpalmiol.200.1	1852	1656.74	870	13.8554
cpalmiol.201.1	1180	984.736	4174	111.837
cpalmiol.202.1	11639	11443.7	3071.95	7.08271
cpalmiol.203.1	9307	9111.74	20824.1	60.3001
cpalmiol.204.1	4810	4614.74	392.621	2.24481
cpalmiol.205.1	4345	4149.74	32673	207.741
cpalmiol.206.1	1798	1602.74	11814	194.486
cpalmiol.207.1	978	782.736	20242.7	682.35
cpalmiol.207.2	891	695.736	16.277	0.617282
cpalmiol.207.3	957	761.736	46.5307	1.61172
cpalmiol.207.4	945	749.736	26.4868	0.932127
cpalmiol.208.1	6284	6088.74	19437	84.2279
cpalmiol.209.1	2383	2187.74	188	2.26734
cpalmiol.210.1	1413	1217.74	699	15.1453
cpalmiol.211.1	2258	2062.74	1466	18.7518
cpalmiol.212.1	690	494.821	22	1.17308
cpalmiol.213.1	2931	2735.74	2104	20.292
cpalmiol.214.1	4197	4001.74	954	6.29004
cpalmiol.215.1	4959	4763.74	910	5.0402
cpalmiol.216.1	498	303.857	4562	396.132
cpalmiol.217.1	2574	2378.74	744	8.2524
cpalmiol.218.1	4816	4620.74	8723	49.8091
cpalmiol.219.1	1838	1642.74	13948	224.026
cpalmiol.220.1	9977	9781.74	9678.05	26.1051
cpalmiol.221.1	1079	883.736	4183	124.888
cpalmiol.222.1	2859	2663.74	24004	237.764
cpalmiol.223.1	2176	1980.74	7180	95.6426
cpalmiol.224.1	4508	4312.74	3591	21.9693
cpalmiol.225.1	1227	1031.74	9743	249.16
cpalmiol.226.1	3142	2946.74	4442	39.7732
cpalmiol.227.1	999	803.736	1121.64	36.821
cpalmiol.228.1	702	506.796	574.357	29.9022
cpalmiol.229.1	821	625.736	22512	949.241
cpalmiol.230.1	2236	2040.74	868	11.2224
cpalmiol.231.1	1343	1147.74	9000	206.897
cpalmiol.232.1	1396	1200.74	4430	97.3442
cpalmiol.233.1	8689	8493.74	21709	67.4365
cpalmiol.234.1	11254	11058.7	8222	19.6167
cpalmiol.235.1	5724	5528.74	1670	7.96974
cpalmiol.236.1	367	178.615	21	3.10209
cpalmiol.436.1	478	284.358	52	4.82493
cpalmiol.437.1	1520	1324.74	3257	64.8697
cpalmiol.438.1	1216	1020.74	29780	769.777
cpalmiol.439.1	2063	1867.74	29282	413.656
cpalmiol.440.1	1232	1036.74	468	11.9105
cpalmiol.441.1	513	318.639	6747	558.683
cpalmiol.442.1	3618	3422.74	1404.63	10.8279
cpalmiol.442.2	3618	3422.74	1.70604e-06	1.31513e-08
cpalmiol.442.3	3618	3422.74	815.827	6.28896
cpalmiol.442.4	3618	3422.74	1404.63	10.8279
cpalmiol.442.5	3618	3422.74	1587.02	12.2339
cpalmiol.443.1	1062	866.736	2665.18	81.1324
cpalmiol.444.1	1110	914.736	0	0
cpalmiol.445.1	1306	1110.74	1619	38.4583
cpalmiol.446.1	1546	1350.74	2367.82	46.2521
cpalmiol.447.1	1268	1072.74	1763	43.3624
cpalmiol.448.1	1920	1724.74	4160	63.6392
cpalmiol.449.1	2549	2353.74	15332	171.868
cpalmiol.450.1	1877	1681.74	206	3.23194
cpalmiol.451.1	1991	1795.74	32675	480.095
cpalmiol.452.1	1664	1468.74	13987	251.266
cpalmiol.453.1	3328	3132.74	1485	12.5071
cpalmiol.453.2	3220	3024.74	0	0
cpalmiol.454.1	10522	10326.7	8965	22.9056
cpalmiol.455.1	1475	1279.74	1849	38.1215
cpalmiol.456.1	1084	888.736	7174	212.982
cpalmiol.457.1	1414	1218.74	1100	23.8142
cpalmiol.458.1	901	705.736	2474	92.4935
cpalmiol.459.1	5975	5779.74	3755	17.1418
cpalmiol.460.1	2002	1806.74	12522	182.866
cpalmiol.461.1	3065	2869.74	5968	54.8707
cpalmiol.462.1	1642	1446.74	1982	36.1467
cpalmiol.463.1	4420	4224.74	6326	39.5078
cpalmiol.464.1	1689	1493.74	13448	237.54
cpalmiol.465.1	1535	1339.74	42.0035	0.827217
cpalmiol.466.1	579	384.16	23051	1583.18
cpalmiol.467.1	2643	2447.74	3923	42.2871
cpalmiol.468.1	552	357.272	4445	328.267
cpalmiol.469.1	3497	3301.74	4659	37.2309
cpalmiol.470.1	859	663.736	1853	73.6603
cpalmiol.471.1	11989	11793.7	16978	37.983
cpalmiol.472.1	3496	3300.74	12780	102.158
cpalmiol.473.1	5268	5072.74	7775	40.4401
cpalmiol.474.1	696	500.796	1745	91.9366
cpalmiol.475.1	2888	2692.74	2269	22.2328
cpalmiol.476.1	1149	953.736	4311	119.262
cpalmiol.477.1	704	508.796	13879	719.728
cpalmiol.478.1	1887	1691.74	1936	30.1944
cpalmiol.479.1	12198	12002.7	22368	49.17
cpalmiol.480.1	6971	6775.74	7662	29.8359
cpalmiol.481.1	5269	5073.74	2502	13.0111
cpalmiol.482.1	1151	955.736	5407	149.27
cpalmiol.483.1	771	575.796	6422	294.276
cpalmiol.484.1	3459	3263.74	24593	198.815
cpalmiol.485.1	6760	6564.74	8021	32.2378
cpalmiol.486.1	1303	1107.74	203	4.83519
cpalmiol.487.1	2881	2685.74	15826	155.475
cpalmiol.488.1	11064	10868.7	12585	30.5512
cpalmiol.489.1	4893	4697.74	13560	76.1596
cpalmiol.490.1	1784	1588.74	12080	200.618
cpalmiol.491.1	1976	1780.74	1559	23.0994
cpalmiol.492.1	1735	1539.74	6168	105.694
cpalmiol.493.1	1079	883.736	4703	140.413
cpalmiol.494.1	854	658.736	30257	1211.9
cpalmiol.495.1	478	284.358	10506	974.821
cpalmiol.496.1	628	432.938	26042	1587.09
cpalmiol.497.1	1927	1731.74	21820	332.45
cpalmiol.498.1	6878	6682.74	4098	16.1797
cpalmiol.499.1	4990	4794.74	8931	49.1461
cpalmiol.500.1	590	395.082	4507	300.992
cpalmiol.501.1	1601	1405.74	2213	41.5366
cpalmiol.502.1	1640	1444.74	3592	65.5997
