GeneID	gene	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
cpalmiol.535.1	PMAFR	100	71	0	0	2854	2924	71	1	1.04E-32	132
cpalmiol.535.1	PMAF	100	71	0	0	2854	2924	1	71	1.04E-32	132
cpalmiol.535.1	PMARR	100	62	0	0	2776	2837	1	62	1.04E-27	115
cpalmiol.535.1	PMAR	100	62	0	0	2776	2837	62	1	1.04E-27	115
cpalmiol.608.1	RPP2	82.707	133	14	4	218	350	124	1	6.67E-27	110
cpalmiol.707.1	LipaseVI	100	1461	0	0	6646	8106	1	1461	0	2699
cpalmiol.1017.1	RPP2	82.667	75	13	0	2	76	1	75	9.13E-14	67.6
cpalmiol.1419.1	RIP	100	642	0	0	213	854	1	642	0	1186
cpalmiol.1419.1	RIPRR	100	99	0	0	529	627	1	99	8.22E-49	183
cpalmiol.1419.1	RIPR	100	99	0	0	529	627	99	1	8.22E-49	183
cpalmiol.1419.1	RIPFR	100	64	0	0	606	669	64	1	2.35E-29	119
cpalmiol.1419.1	RIPF	100	64	0	0	606	669	1	64	2.35E-29	119
cpalmiol.1877.1	PMA1	92	50	4	0	10822	10871	870	821	8.92E-14	71.3
cpalmiol.1877.1	PMA1	92	50	4	0	2298	2347	870	821	8.92E-14	71.3
cpalmiol.1955.1	RPP2	100	330	0	0	58	387	330	1	1.54E-177	610
cpalmiol.1955.1	RPPRR	100	65	0	0	170	234	65	1	3.17E-30	121
cpalmiol.1955.1	RPPR	100	65	0	0	170	234	1	65	3.17E-30	121
cpalmiol.1955.1	RPPFR	100	59	0	0	94	152	1	59	6.87E-27	110
cpalmiol.1955.1	RPPF	100	59	0	0	94	152	59	1	6.87E-27	110
cpalmiol.1969.1	ARP5	100	2337	0	0	6053	8389	2337	1	0	4316
cpalmiol.1969.1	ARPFR	100	57	0	0	7047	7103	1	57	1.72E-24	106
cpalmiol.1969.1	ARPF	100	57	0	0	7047	7103	57	1	1.72E-24	106
cpalmiol.1969.1	ARPRR	100	43	0	0	7149	7191	44	2	1.04E-16	80.5
cpalmiol.1969.1	ARPR	100	43	0	0	7149	7191	1	43	1.04E-16	80.5
cpalmiol.2232.1	RPP2	77.844	334	57	8	39	359	330	1	2.31E-51	191
cpalmiol.2232.1	RPPFR	86.275	51	7	0	78	128	4	54	8.78E-11	56.5
cpalmiol.2232.1	RPPF	86.275	51	7	0	78	128	56	6	8.78E-11	56.5
cpalmiol.2292.1	RPP2	86.992	123	16	0	88	210	1	123	9.53E-36	139
cpalmiol.2413.1	LSC2	100	945	0	0	338	1282	1	945	0	1746
cpalmiol.2413.1	LCSFR	100	59	0	0	897	955	59	1	2.09E-26	110
cpalmiol.2413.1	LSCF	100	59	0	0	897	955	1	59	2.09E-26	110
cpalmiol.2413.1	LSCRR	100	46	0	0	816	861	1	46	3.52E-19	86.1
cpalmiol.2413.1	LSCR	100	46	0	0	816	861	46	1	3.52E-19	86.1
