# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-t" "transcript" "-g" "gene_id" "-a" "11.AssemblyRNA/cpalmiol.gtf" "-o" "counts.txt" "10.Mapping.RNA/cpalmiol_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	10.Mapping.RNA/cpalmiol_sorted.bam
cpalmiol.88	tig00000083	434588	437403	.	2816	5503
cpalmiol.89	tig00000083	437703	438396	.	694	25445
cpalmiol.90	tig00000083	438731	439114	.	384	28302
cpalmiol.91	tig00000083	439823	440841	.	1019	441
cpalmiol.92	tig00000083	441063	441571	.	509	16613
cpalmiol.93	tig00000083	442545	443201	.	657	3295
cpalmiol.94	tig00000083	443564	443923	.	360	794
cpalmiol.95	tig00000083	448293	449190	.	898	3193
cpalmiol.96	tig00000083	449416	451249	.	1834	3794
cpalmiol.97	tig00000083	455802	456499	-	698	58343
cpalmiol.98	tig00000083	456679	457755	-	1077	6711
cpalmiol.99	tig00000083	458107	460941	.	2835	5372
cpalmiol.100	tig00000083	461993	469315	.	7323	10835
cpalmiol.101	tig00000083	469658	471870	.	2213	1063
cpalmiol.102	tig00000083	474199	474617	.	419	5491
cpalmiol.103	tig00000083	482667	484178	.	1512	346234
cpalmiol.104	tig00000083	485579	487643	.	2065	40584
cpalmiol.105	tig00000083	487816	493463	.	5648	31623
cpalmiol.106	tig00000083	493711	497590	.	3880	5380
cpalmiol.107	tig00000083	499369	502368	.	3000	6959
cpalmiol.108	tig00000083	502799	508948	.	6150	21324
cpalmiol.109	tig00000083	509105	512573	.	3469	12814
cpalmiol.110	tig00000083	513249	514548	.	1300	7545
cpalmiol.111	tig00000083	515120	516691	.	1572	18104
cpalmiol.112	tig00000083	520894	522852	.	1959	120671
cpalmiol.113	tig00000083	523108	527385	.	4278	12994
cpalmiol.114	tig00000083	528242	536303	.	8062	14204
cpalmiol.115	tig00000083	528242	535993	+	7752	14196
cpalmiol.116	tig00000083	536452	537082	+	631	35608
cpalmiol.117	tig00000083	537699	538576	.	878	2342
cpalmiol.118	tig00000083	542535	543354	-	820	5699
cpalmiol.119	tig00000083	547068	568627	.	21560	44467
cpalmiol.120	tig00000083	570425	572832	.	2408	7339
cpalmiol.121	tig00000083	573367	575275	.	1909	9326
cpalmiol.122	tig00000083	577813	579731	.	1919	16889
cpalmiol.123	tig00000083	582671	583057	.	387	1678
cpalmiol.124	tig00000083	583292	588228	+	4937	11523
cpalmiol.125	tig00000083	589445	592468	.	3024	3631
cpalmiol.126	tig00000083	592680	595073	-	2394	79956
cpalmiol.127	tig00000083	599084	604655	.	5572	14866
cpalmiol.128	tig00000083	615072	616590	-	1519	31785
cpalmiol.129	tig00000083	618004	623794	-	5791	29314
cpalmiol.130	tig00000083	623996	629051	.	5056	10521
cpalmiol.131	tig00000083	630362	634995	.	4634	31706
cpalmiol.132	tig00000083	635476	637376	.	1901	9234
cpalmiol.133	tig00000083	640948	641804	.	857	22763
cpalmiol.134	tig00000083	642601	646014	.	3414	8683
cpalmiol.135	tig00000083	646623	650097	.	3475	3579
cpalmiol.136	tig00000083	651962	654495	.	2534	115060
cpalmiol.137	tig00000083	654697	656101	+	1405	9983
cpalmiol.138	tig00000083	659663	660589	.	927	4651
cpalmiol.139	tig00000083	660714	665952	.	5239	31555
cpalmiol.140	tig00000083	660860	662940	+	2081	9559
cpalmiol.141	tig00000083	672967	674675	.	1709	20853
cpalmiol.142	tig00000083	677405	679738	.	2334	12510
cpalmiol.143	tig00000083	677405	682617	+	5213	17653
cpalmiol.144	tig00000083	682939	683954	.	1016	6236
cpalmiol.145	tig00000083	684171	696123	.	11953	13206
cpalmiol.146	tig00000083	686953	696123	+	9171	11443
cpalmiol.147	tig00000083	696573	697121	.	549	7201
cpalmiol.148	tig00000083	697610	699993	+	2384	46080
cpalmiol.149	tig00000083	700799	704871	.	4073	4119
cpalmiol.150	tig00000083	705219	707947	.	2729	3996
cpalmiol.151	tig00000083	709191	710322	.	1132	28348
cpalmiol.152	tig00000083	710482	711307	.	826	2297
cpalmiol.153	tig00000083	714207	714740	.	534	48992
cpalmiol.154	tig00000083	714922	718295	.	3374	3114
cpalmiol.155	tig00000083	721071	722901	.	1831	7707
cpalmiol.156	tig00000083	724265	727223	.	2959	12137
cpalmiol.157	tig00000083	728444	733103	.	4660	30232
cpalmiol.158	tig00000083	733636	735820	.	2185	9329
cpalmiol.159	tig00000083	737225	737890	+	666	19103
cpalmiol.160	tig00000083	743650	748283	.	4634	8447
cpalmiol.161	tig00000083	748806	749543	-	738	34280
cpalmiol.162	tig00000083	750498	759055	.	8558	86777
cpalmiol.163	tig00000083	759747	761409	.	1663	2883
cpalmiol.164	tig00000083	762862	767808	.	4947	5266
cpalmiol.165	tig00000083	768216	768905	.	690	4338
cpalmiol.166	tig00000083	769648	777465	+	7818	12650
cpalmiol.167	tig00000083	777725	779364	.	1640	1519
cpalmiol.168	tig00000083	781023	781513	.	491	3272
cpalmiol.169	tig00000083	784192	786729	.	2538	41146
cpalmiol.170	tig00000083	786864	787599	.	736	1637
cpalmiol.171	tig00000083	787985	788820	.	836	14589
cpalmiol.172	tig00000083	789146	791935	.	2790	27525
cpalmiol.173	tig00000083	792305	792709	.	405	1006
cpalmiol.174	tig00000083	798228	800297	-	2070	36133
cpalmiol.175	tig00000083	804996	806619	.	1624	25098
cpalmiol.176	tig00000083	809550	812009	.	2460	5624
cpalmiol.177	tig00000083	815653	817560	.	1908	25759
cpalmiol.178	tig00000083	819070	828275	.	9206	19935
cpalmiol.179	tig00000083	829252	831472	.	2221	8769
cpalmiol.180	tig00000083	834075	836071	.	1997	112
cpalmiol.181	tig00000083	836802	841039	.	4238	27993
cpalmiol.182	tig00000083	842442	843261	.	820	2149
cpalmiol.183	tig00000083	843492	848388	.	4897	3172
cpalmiol.184	tig00000083	848757	850173	.	1417	6306
cpalmiol.185	tig00000083	854525	859647	-	5123	16148
cpalmiol.186	tig00000083	855840	864685	.	8846	19629
cpalmiol.187	tig00000083	865595	866362	.	768	30523
cpalmiol.188	tig00000083	867997	868233	.	237	2159
cpalmiol.189	tig00000083	870290	871855	.	1566	58493
cpalmiol.190	tig00000083	873196	874032	-	837	23498
cpalmiol.191	tig00000083	875365	877139	+	1775	49882
cpalmiol.192	tig00000083	883722	890956	.	7235	16344
cpalmiol.193	tig00000083	891633	894959	.	3327	7094
cpalmiol.194	tig00000083	899789	901392	.	1604	15122
cpalmiol.195	tig00000083	906357	910926	+	4570	14852
cpalmiol.196	tig00000083	911550	911929	.	380	4501
cpalmiol.197	tig00000083	914333	916424	.	2092	751601
cpalmiol.198	tig00000083	916576	917972	.	1397	17618
cpalmiol.199	tig00000083	918283	920280	.	1998	1904
cpalmiol.200	tig00000083	921575	923426	.	1852	1797
cpalmiol.201	tig00000083	927863	929042	.	1180	8643
cpalmiol.202	tig00000083	929919	941557	.	11639	28761
cpalmiol.203	tig00000083	930796	941236	-	10441	27939
cpalmiol.204	tig00000083	941681	946490	.	4810	660
cpalmiol.205	tig00000083	946770	951114	.	4345	67248
cpalmiol.206	tig00000083	958521	960976	+	2456	27118
cpalmiol.207	tig00000083;tig00000083;tig00000083;tig00000083	962304;962304;962304;962304	963492;963492;963492;963492	+;+;+;+	1189	41047
cpalmiol.208	tig00000083	965496	971779	.	6284	40087
cpalmiol.209	tig00000083	974014	976396	.	2383	381
cpalmiol.210	tig00000083	976793	978205	.	1413	1436
cpalmiol.211	tig00000083	978510	980767	.	2258	3031
cpalmiol.212	tig00000083	981236	981925	.	690	45
cpalmiol.213	tig00000083	985651	988581	.	2931	4378
cpalmiol.214	tig00000083	988832	993028	.	4197	1952
cpalmiol.215	tig00000083	994146	999104	.	4959	1885
cpalmiol.216	tig00000083	1001535	1002032	.	498	9275
cpalmiol.217	tig00000083	1004964	1007537	.	2574	1531
cpalmiol.218	tig00000083	1007790	1012680	-	4891	17980
cpalmiol.219	tig00000083	1013255	1015092	.	1838	28812
cpalmiol.220	tig00000083	1015442	1025418	.	9977	13395
cpalmiol.221	tig00000083	1025968	1027046	.	1079	8711
cpalmiol.222	tig00000083	1037141	1039999	.	2859	49295
cpalmiol.223	tig00000083	1042397	1044572	.	2176	14708
cpalmiol.224	tig00000083	1045451	1050107	-	4657	7375
cpalmiol.225	tig00000083	1052570	1053796	.	1227	20035
cpalmiol.226	tig00000083	1055185	1058326	.	3142	9210
cpalmiol.227	tig00000083	1058798	1059796	.	999	3481
cpalmiol.228	tig00000083	1058798	1059796	+	999	3481
cpalmiol.229	tig00000083	1062305	1063125	.	821	46422
cpalmiol.230	tig00000083	1063544	1065779	.	2236	1808
cpalmiol.231	tig00000083	1066164	1067506	.	1343	18503
cpalmiol.232	tig00000083	1071353	1072748	.	1396	8997
cpalmiol.233	tig00000083	1073297	1081985	.	8689	44769
cpalmiol.234	tig00000083	1083097	1094350	.	11254	16262
cpalmiol.235	tig00000083	1095581	1101304	.	5724	3444
cpalmiol.236	tig00000083	1102269	1102635	.	367	40
cpalmiol.237	tig00000074	1266932	1269226	.	2295	495
cpalmiol.238	tig00000074	6498	7020	.	523	71
cpalmiol.239	tig00000074	7644	9322	.	1679	315
cpalmiol.240	tig00000074	10766	12853	.	2088	11656
cpalmiol.241	tig00000074	17930	18892	.	963	454
cpalmiol.242	tig00000074	19655	22470	.	2816	1325
cpalmiol.243	tig00000074;tig00000074;tig00000074;tig00000074	22863;22863;22863;22863	29481;29481;29481;29481	-;-;-;-	6619	5246
cpalmiol.244	tig00000074	30275	35721	.	5447	10788
cpalmiol.245	tig00000074	36505	38544	.	2040	17468
cpalmiol.246	tig00000074	42980	43385	.	406	101631
cpalmiol.247	tig00000074	44729	45696	.	968	120357
cpalmiol.248	tig00000074	49769	52942	.	3174	30430
cpalmiol.249	tig00000074	54067	65434	.	11368	35572
cpalmiol.250	tig00000074	66907	73309	.	6403	14082
cpalmiol.251	tig00000074;tig00000074	76546;77628	85765;78440	+;+	9220	30337
cpalmiol.252	tig00000074	86081	102643	.	16563	56130
cpalmiol.253	tig00000074	102898	103559	.	662	5357
cpalmiol.254	tig00000074	112883	115464	.	2582	11481
cpalmiol.255	tig00000074	115951	116832	.	882	3805
cpalmiol.256	tig00000074	118435	119862	-	1428	7830
cpalmiol.257	tig00000074	128737	140795	-	12059	1214
cpalmiol.258	tig00000074	129281	141143	.	11863	1327
cpalmiol.259	tig00000074	147341	149071	.	1731	17420
cpalmiol.260	tig00000074	150353	152126	.	1774	25214
cpalmiol.261	tig00000074	153360	167863	.	14504	24858
cpalmiol.262	tig00000074	168103	182913	.	14811	36489
cpalmiol.263	tig00000074	183144	187971	.	4828	8982
cpalmiol.264	tig00000074	189241	190939	.	1699	4899
cpalmiol.265	tig00000074;tig00000074;tig00000074	194682;194682;194682	212093;212093;212093	+;+;+	17412	7017
cpalmiol.266	tig00000074;tig00000074	212611;217528	233277;221111	.;.	20667	122319
cpalmiol.267	tig00000074;tig00000074	238140;238250	243099;243099	-;-	4960	13573
cpalmiol.268	tig00000074	244205	251779	.	7575	37818
cpalmiol.269	tig00000074	254225	264151	.	9927	22515
cpalmiol.270	tig00000074	265612	268087	.	2476	5080
cpalmiol.271	tig00000074	273879	280433	-	6555	10587
cpalmiol.272	tig00000074	280521	281430	+	910	17016
cpalmiol.273	tig00000074	283967	289589	-	5623	20059
cpalmiol.274	tig00000074	309570	310217	.	648	1033
cpalmiol.275	tig00000074	310441	317633	.	7193	11552
cpalmiol.276	tig00000074	318272	319750	.	1479	708
cpalmiol.277	tig00000074	322035	328334	.	6300	1394
cpalmiol.278	tig00000074	328571	336000	.	7430	37204
cpalmiol.279	tig00000074	336584	338293	.	1710	103407
cpalmiol.280	tig00000074	339293	340302	.	1010	11591
cpalmiol.281	tig00000074	340463	341834	.	1372	1493
cpalmiol.282	tig00000074;tig00000074	345787;345787	351383;351383	+;+	5597	4
cpalmiol.283	tig00000074;tig00000074;tig00000074;tig00000074	356910;356910;371049;371066	376897;376897;376897;376897	+;+;+;+	19988	225
cpalmiol.284	tig00000074	360006	366191	-	6186	190
cpalmiol.285	tig00000074	382440	387838	-	5399	9
cpalmiol.286	tig00000074	393344	393707	.	364	57457
cpalmiol.287	tig00000074	411825	414615	.	2791	868674
cpalmiol.288	tig00000074	414766	417182	.	2417	13029
cpalmiol.289	tig00000074	417596	422651	.	5056	10156
cpalmiol.290	tig00000074	423042	423778	.	737	840
cpalmiol.291	tig00000074	424075	431452	.	7378	24421
cpalmiol.292	tig00000074	433105	434495	.	1391	16596
cpalmiol.293	tig00000074	435936	438550	.	2615	46070
cpalmiol.294	tig00000074	438705	440283	.	1579	12657
cpalmiol.295	tig00000074	440581	445769	.	5189	27447
cpalmiol.296	tig00000074	446003	455459	.	9457	6997
cpalmiol.297	tig00000074	455757	462331	.	6575	13193
cpalmiol.298	tig00000074	462824	464083	.	1260	1302
cpalmiol.299	tig00000074	465046	469401	.	4356	1088
cpalmiol.300	tig00000074;tig00000074;tig00000074	472789;473494;473806	480302;480302;480302	+;+;+	7514	929
cpalmiol.301	tig00000074	483359	487171	+	3813	8618
cpalmiol.302	tig00000074	488344	498066	.	9723	23415
cpalmiol.303	tig00000074	498567	499125	.	559	36
cpalmiol.304	tig00000074	504665	506316	-	1652	2191
cpalmiol.305	tig00000074	508767	518262	.	9496	17152
cpalmiol.306	tig00000074	520589	522069	.	1481	105377
cpalmiol.307	tig00000074	522520	524143	.	1624	5889
cpalmiol.308	tig00000074	525248	529833	.	4586	21735
cpalmiol.309	tig00000074	534888	536241	.	1354	26172
cpalmiol.310	tig00000074	536594	536897	.	304	614
cpalmiol.311	tig00000074	538479	545060	+	6582	17601
cpalmiol.312	tig00000074	548812	551227	+	2416	21698
cpalmiol.313	tig00000074	551676	552905	.	1230	2259
cpalmiol.314	tig00000074	563696	566302	.	2607	54943
cpalmiol.315	tig00000074	566777	569101	.	2325	1327
cpalmiol.316	tig00000074	569438	570706	.	1269	67260
cpalmiol.317	tig00000074	584476	584904	.	429	202552
cpalmiol.318	tig00000074	585778	586646	.	869	5736
cpalmiol.319	tig00000074	586890	589027	.	2138	3133
cpalmiol.320	tig00000074	598132	599444	.	1313	18875
cpalmiol.321	tig00000074	603227	604493	.	1267	193
cpalmiol.322	tig00000074	607284	616160	-	8877	37287
cpalmiol.323	tig00000074	612493	616108	.	3616	29332
cpalmiol.324	tig00000074	616291	617266	.	976	8203
cpalmiol.325	tig00000074	618349	635975	.	17627	42518
cpalmiol.326	tig00000074	640672	641177	-	506	24475
cpalmiol.327	tig00000074	640672	651112	-	10441	34545
cpalmiol.328	tig00000074	651934	654722	.	2789	459
cpalmiol.329	tig00000074	655006	659113	.	4108	17159
cpalmiol.330	tig00000074	663624	665056	.	1433	690
cpalmiol.331	tig00000074	665290	665911	.	622	72948
cpalmiol.332	tig00000074	668171	673032	.	4862	5220
cpalmiol.333	tig00000074	673460	680295	-	6836	12290
cpalmiol.334	tig00000074	677185	692277	.	15093	48640
cpalmiol.335	tig00000074	692593	696358	.	3766	19984
cpalmiol.336	tig00000074	698425	702155	.	3731	102099
cpalmiol.337	tig00000074	712819	713886	.	1068	6264
cpalmiol.338	tig00000074	716674	721558	.	4885	179293
cpalmiol.339	tig00000074	722192	728419	.	6228	787
cpalmiol.340	tig00000074	729736	730258	.	523	47537
cpalmiol.341	tig00000074	729736	730570	-	835	47754
cpalmiol.342	tig00000074;tig00000074	730792;730792	731306;731306	+;+	515	31465
cpalmiol.343	tig00000074	733577	735838	.	2262	6283
cpalmiol.344	tig00000074	736072	736978	-	907	6484
cpalmiol.345	tig00000074	737422	744338	.	6917	677
cpalmiol.346	tig00000074	744638	747830	.	3193	996
cpalmiol.347	tig00000074	749839	752385	.	2547	2266
cpalmiol.348	tig00000074	754789	758088	.	3300	51151
cpalmiol.349	tig00000074	758355	764132	.	5778	12992
cpalmiol.350	tig00000074	764408	764963	.	556	327
cpalmiol.351	tig00000074	765752	767092	.	1341	9243
cpalmiol.352	tig00000074	771559	776358	-	4800	11327
cpalmiol.353	tig00000074	774912	776358	.	1447	7749
cpalmiol.354	tig00000074	776568	782929	.	6362	20535
cpalmiol.355	tig00000074	783182	789459	.	6278	759
cpalmiol.356	tig00000074	793185	793706	.	522	11420
cpalmiol.357	tig00000074	796491	802217	.	5727	8500
cpalmiol.358	tig00000074	802876	803356	.	481	11357
cpalmiol.359	tig00000074	812748	813305	.	558	22225
cpalmiol.360	tig00000074	816146	818769	.	2624	3475
cpalmiol.361	tig00000074	819501	824916	.	5416	14315
cpalmiol.362	tig00000074	826395	832490	.	6096	4226
cpalmiol.363	tig00000074;tig00000074;tig00000074;tig00000074;tig00000074	826395;826395;826395;826395;826395	838122;838122;838122;838122;838122	-;-;-;-;-	11728	6455
cpalmiol.364	tig00000074	838619	839819	-	1201	44188
cpalmiol.365	tig00000074	839963	841398	-	1436	15776
cpalmiol.366	tig00000074	841551	842645	-	1095	16821
cpalmiol.367	tig00000074	843164	844023	.	860	54850
cpalmiol.368	tig00000074	844450	848709	.	4260	3729
cpalmiol.369	tig00000074	848995	850991	.	1997	6836
cpalmiol.370	tig00000074	879283	888131	.	8849	9486
cpalmiol.371	tig00000074	889134	889523	.	390	2945
cpalmiol.372	tig00000074	895051	895438	.	388	85613
cpalmiol.373	tig00000074	901749	905455	.	3707	9019
cpalmiol.374	tig00000074	906792	908706	.	1915	6147
cpalmiol.375	tig00000074	909818	910719	+	902	66526
cpalmiol.376	tig00000074	915879	916638	+	760	5403
cpalmiol.377	tig00000074	925333	926147	+	815	48315
cpalmiol.378	tig00000074	925682	926094	.	413	48169
cpalmiol.379	tig00000074	927266	930021	.	2756	20707
cpalmiol.380	tig00000074	931285	935698	.	4414	73964
cpalmiol.381	tig00000074	935948	937021	.	1074	5301
cpalmiol.382	tig00000074	942524	944118	.	1595	25854
cpalmiol.383	tig00000074	945433	950728	.	5296	19031
cpalmiol.384	tig00000074	951650	958809	+	7160	12319
cpalmiol.385	tig00000074	962564	967474	.	4911	40026
cpalmiol.386	tig00000074	968293	969251	.	959	11009
cpalmiol.387	tig00000074	969856	970340	.	485	9256
cpalmiol.388	tig00000074	973851	974648	-	798	46558
cpalmiol.389	tig00000074	974933	975611	.	679	7417
cpalmiol.390	tig00000074	976565	978262	.	1698	8477
cpalmiol.391	tig00000074	988811	994087	.	5277	18941
cpalmiol.392	tig00000074	994320	995911	.	1592	988
cpalmiol.393	tig00000074	996219	1005850	.	9632	21424
cpalmiol.394	tig00000074	1007269	1008889	.	1621	9173
cpalmiol.395	tig00000074	1010052	1011007	.	956	135729
cpalmiol.396	tig00000074	1016180	1016965	-	786	41671
cpalmiol.397	tig00000074	1025802	1027754	+	1953	413
cpalmiol.398	tig00000074	1037807	1039175	.	1369	12993
cpalmiol.399	tig00000074	1040455	1041253	.	799	641
cpalmiol.400	tig00000074	1041476	1043452	.	1977	3847
cpalmiol.401	tig00000074	1044115	1045174	.	1060	8460
cpalmiol.402	tig00000074	1047434	1052198	.	4765	5089
cpalmiol.403	tig00000074	1054605	1059144	-	4540	10005
cpalmiol.404	tig00000074;tig00000074	1061892;1061892	1063590;1065281	+;+	3390	21011
cpalmiol.405	tig00000074	1063744	1065281	.	1538	12096
cpalmiol.406	tig00000074	1066956	1067585	.	630	46081
cpalmiol.407	tig00000074	1072588	1083028	.	10441	26502
cpalmiol.408	tig00000074	1083512	1084092	.	581	983
cpalmiol.409	tig00000074	1085185	1085880	.	696	11925
cpalmiol.410	tig00000074	1089201	1089910	.	710	65567
cpalmiol.411	tig00000074	1091942	1094837	.	2896	5498
cpalmiol.412	tig00000074	1095221	1099073	.	3853	13197
cpalmiol.413	tig00000074	1099535	1100907	.	1373	14193
cpalmiol.414	tig00000074	1103442	1105570	+	2129	8200
cpalmiol.415	tig00000074	1106067	1107587	.	1521	6692
cpalmiol.416	tig00000074	1113578	1116589	.	3012	17451
cpalmiol.417	tig00000074	1117418	1125379	.	7962	23219
cpalmiol.418	tig00000074	1126954	1146984	.	20031	69621
cpalmiol.419	tig00000074	1147931	1151835	.	3905	3027
cpalmiol.420	tig00000074	1153076	1157840	.	4765	11132
cpalmiol.421	tig00000074	1158347	1163193	.	4847	16407
cpalmiol.422	tig00000074	1164478	1166620	.	2143	22187
cpalmiol.423	tig00000074	1169729	1173039	.	3311	3327
cpalmiol.424	tig00000074	1175143	1176539	.	1397	3181
cpalmiol.425	tig00000074	1176754	1178646	.	1893	31225
cpalmiol.426	tig00000074	1179194	1182399	.	3206	3282
cpalmiol.427	tig00000074	1183970	1191166	.	7197	35887
cpalmiol.428	tig00000074	1191943	1202917	.	10975	11064
cpalmiol.429	tig00000074	1203198	1205900	.	2703	174947
cpalmiol.430	tig00000074	1214632	1216532	.	1901	614
cpalmiol.431	tig00000074	1217849	1222585	.	4737	7817
cpalmiol.432	tig00000074	1226999	1239600	.	12602	17168
cpalmiol.433	tig00000074	1257465	1260535	+	3071	35361
cpalmiol.434	tig00000074	1260767	1261721	+	955	6077
cpalmiol.435	tig00000074	1262721	1264368	.	1648	4525
cpalmiol.436	tig00000015	3972	4449	.	478	105
cpalmiol.437	tig00000015	5953	7472	.	1520	6618
cpalmiol.438	tig00000015	7634	8849	.	1216	61383
cpalmiol.439	tig00000015	14315	16377	.	2063	60349
cpalmiol.440	tig00000015	20374	21605	.	1232	966
cpalmiol.441	tig00000015	21759	22271	.	513	13884
cpalmiol.442	tig00000015;tig00000015;tig00000015;tig00000015;tig00000015	25517;25517;25517;25517;25517	32498;32498;32498;32498;32498	-;-;-;-;-	6982	5863
cpalmiol.443	tig00000015	33454	34515	.	1062	5433
cpalmiol.444	tig00000015	33454	38885	-	5432	13667
cpalmiol.445	tig00000015	35277	36582	.	1306	3329
cpalmiol.446	tig00000015	37366	38911	.	1546	4848
cpalmiol.447	tig00000015	39695	40962	.	1268	3624
cpalmiol.448	tig00000015	41642	43561	.	1920	8577
cpalmiol.449	tig00000015	43780	46328	.	2549	31702
cpalmiol.450	tig00000015	47390	49266	.	1877	431
cpalmiol.451	tig00000015	50816	52806	.	1991	67414
cpalmiol.452	tig00000015	54231	55894	.	1664	28824
cpalmiol.453	tig00000015;tig00000015	66235;66235	69598;69598	+;+	3364	2641
cpalmiol.454	tig00000015	71168	81689	.	10522	18612
cpalmiol.455	tig00000015	83019	84493	.	1475	3815
cpalmiol.456	tig00000015	94173	95256	.	1084	14813
cpalmiol.457	tig00000015	95901	97314	.	1414	2251
cpalmiol.458	tig00000015	97526	98426	.	901	5127
